team_id,season,T_j_hat,roster_n,draftees
47,2012,-0.14332688351931702,14,0
47,2013,-0.4772960625874174,10,0
47,2014,-0.33135785382532046,12,0
47,2015,-0.2366449267445478,15,0
47,2016,-0.22978546430544103,14,0
47,2017,-0.3592039600750282,14,0
47,2018,-0.12064145976455097,13,0
47,2019,0.27620883255157885,14,0
47,2020,-0.09824147236061172,14,0
47,2021,0.394376391943631,12,0
48,2011,-0.29015321359349927,12,0
48,2012,-0.02618722296421779,9,0
48,2013,-0.16114609217742,10,0
48,2014,0.06243178804640017,10,0
48,2015,-0.13208484964637088,11,0
48,2016,-0.5021809809081944,12,0
48,2017,-0.3525040413970655,12,0
48,2018,-0.03256939279566994,12,0
48,2019,0.04950535655866756,10,0
48,2020,0.07657622338247211,10,0
48,2021,0.005455356675029419,9,0
49,2016,0.30906947754340824,5,0
49,2018,-0.19097052838852546,4,0
49,2019,0.0821258099950605,5,0
50,2011,-0.2703216581350635,13,0
50,2012,-0.030223352948563088,14,0
50,2013,-0.05010194649927879,12,0
50,2014,0.023519727100666108,14,0
50,2015,-0.4900300801590431,11,0
50,2016,-0.22798018420099295,12,0
50,2017,-0.01343005898746776,13,0
50,2018,-0.4438718851267031,13,0
50,2019,-0.4457159205389866,13,0
50,2020,-0.13010237773194727,11,0
50,2021,-0.31225411087488847,13,0
51,2012,0.13054074231509033,5,0
52,2011,0.19925146960972737,12,2
52,2012,0.2885157199462538,12,1
52,2013,0.046092327332551426,12,0
52,2014,0.06772870966792605,11,0
52,2015,0.07643338880984134,12,0
52,2016,0.35348251857267976,12,3
52,2017,0.5991093095682068,13,3
52,2018,0.25556375647452745,12,2
52,2019,0.3386554376654123,12,4
52,2020,0.4692890874640398,13,4
52,2021,0.5226752946551481,13,3
53,2013,1.62261260306859,3,0
53,2015,0.3486710407657337,7,0
53,2016,0.7475596677127239,5,0
53,2017,0.026273809492021894,5,0
53,2018,-0.16615361746565652,5,0
53,2019,-0.6135259666771529,5,0
53,2020,-0.07292839123644079,4,0
55,2011,-0.20969659176633468,12,0
55,2012,0.042938245172395056,11,0
55,2013,-0.17431201579195235,13,0
55,2014,-0.018335046613918222,14,0
55,2015,-0.19012115701045226,12,0
55,2016,-0.048646969165304844,12,0
55,2017,-0.003986094833405636,12,0
55,2018,0.010600973063556758,13,0
55,2019,0.3006519063070345,12,0
55,2020,0.17262546110060475,12,0
55,2021,0.08504631847117064,14,0
56,2011,-0.2312691071771168,11,0
56,2012,0.04488821180586098,12,0
56,2013,-0.0014726765412896943,13,0
56,2014,-0.1306692602076078,12,0
56,2015,-0.002303670198182985,11,0
56,2016,0.13232936839574375,11,0
56,2017,0.2116958661858111,10,0
56,2018,0.18362771268490485,12,0
56,2019,0.08151308908718365,13,0
56,2020,-0.3913245951627909,12,0
56,2021,0.07213220589959278,13,0
57,2011,0.10496377759583861,11,2
57,2012,0.21520028109901093,10,1
57,2013,0.08785364736869405,12,0
57,2014,-0.16755420807863355,12,0
57,2015,-0.034202064703360874,11,0
57,2016,0.0948474798737778,12,0
57,2017,0.261481198777145,12,0
57,2018,0.2891452454313487,11,0
57,2019,0.05973888282652233,11,0
57,2020,0.11965198629415266,10,2
57,2021,0.2560726615393778,13,2
58,2011,-0.12395722058981926,11,0
58,2012,-0.06020805819326265,10,0
58,2013,-0.18767148763606112,12,0
58,2014,-0.1981333627674234,12,0
58,2015,-0.09970216352812514,11,0
58,2016,-0.2412948565000319,10,0
58,2017,-0.08047158140739014,11,0
58,2018,-0.24869084416953607,10,0
58,2019,-0.011169867962517021,11,0
58,2020,-0.1810895038199216,11,0
58,2021,-0.0671091348038443,12,0
59,2011,-0.08175845933752686,11,2
59,2012,-0.1678536068400923,11,1
59,2013,-0.09379437920841817,12,0
59,2014,-0.1378056711256657,14,0
59,2015,-0.1623722680117696,12,0
59,2016,-0.030336794484798715,11,0
59,2017,-0.1707573259512364,12,1
59,2018,-0.22053743859760588,11,1
59,2019,-0.037996778685028196,12,0
59,2020,-0.09499266892782231,11,0
