athlete_id,team_id,distinct_games,total_minutes,game_rows,canonical_team_id,kept
56212,2678,30,755.0,30,2678,True
56213,2464,38,1130.0,38,2464,True
56214,2678,30,372.0,30,2678,True
56215,2678,30,549.0,30,2678,True
56216,2737,32,515.0,32,2737,True
56217,2737,32,0.0,32,2737,True
56219,2737,32,989.0,32,2737,True
56220,2737,32,0.0,32,2737,True
56221,2086,34,392.0,34,2086,True
56223,2752,37,1020.0,37,2752,True
56226,77,32,337.0,32,77,True
56227,77,32,1043.0,32,77,True
56228,2174,33,322.0,33,2174,True
56230,2539,32,846.0,32,2539,True
56231,325,34,1176.0,34,325,True
56232,213,34,846.0,34,213,True
56233,2509,34,0.0,34,2509,True
56235,2026,29,355.0,29,2026,True
56236,13,29,583.0,29,13,True
56240,299,33,1073.0,33,299,True
56242,2229,33,657.0,33,2229,True
56245,2428,33,226.0,33,2428,True
56246,2016,32,433.0,32,2016,True
56248,2261,35,159.0,35,2261,True
56250,2344,8,157.0,8,2344,True
56252,314,35,860.0,35,314,True
56254,2405,33,931.0,33,2405,True
56255,2261,35,688.0,35,2261,True
56256,2169,36,0.0,36,2169,True
56257,2729,33,328.0,33,2729,True
56258,2729,33,1210.0,33,2729,True
56259,2546,30,600.0,30,2546,True
56260,248,32,1083.0,32,248,True
56262,248,32,1105.0,32,248,True
56263,201,35,1038.0,35,201,True
56264,526,33,932.0,33,526,True
56265,222,36,1013.0,36,222,True
56266,242,32,1085.0,32,242,True
56268,242,32,516.0,32,242,True
56269,227,33,290.0,33,227,True
56270,2097,32,549.0,32,2097,True
56272,2116,30,680.0,30,2116,True
56274,2638,33,1018.0,33,2638,True
56275,2638,33,883.0,33,2638,True
56280,2638,33,364.0,33,2638,True
56281,2638,33,1117.0,33,2638,True
56282,292,31,1035.0,31,292,True
56285,270,30,624.0,30,270,True
56286,38,34,937.0,34,38,True
56289,21,36,478.0,36,21,True
56294,9,34,703.0,34,9,True
56296,338,32,499.0,32,338,True
56297,338,32,497.0,32,338,True
56298,116,30,318.0,30,116,True
56299,2086,34,1149.0,34,2086,True
56300,2086,34,95.0,34,2086,True
56301,2086,34,1207.0,34,2086,True
56302,2086,34,1063.0,34,2086,True
56303,156,33,1116.0,33,156,True
56304,156,33,552.0,33,156,True
56305,156,33,382.0,33,156,True
56306,2640,35,384.0,35,2640,True
56307,2230,31,0.0,31,2230,True
56309,2230,31,0.0,31,2230,True
56311,2450,34,1155.0,34,2450,True
56312,2230,31,734.0,31,2230,True
56314,171,28,643.0,28,171,True
56316,171,1,0.0,1,171,True
56318,171,28,176.0,28,171,True
56321,399,33,781.0,33,399,True
56323,399,33,1094.0,33,399,True
56325,44,33,1.0,33,44,True
56326,172,30,896.0,30,172,True
56327,172,30,1001.0,30,172,True
56328,172,30,164.0,30,172,True
56329,172,30,229.0,30,172,True
56330,172,30,940.0,30,172,True
56331,172,30,146.0,30,172,True
56333,44,33,1239.0,33,44,True
56334,43,32,832.0,32,43,True
56335,2026,29,72.0,29,2026,True
56336,43,32,1004.0,32,43,True
56338,43,32,827.0,32,43,True
56343,339,36,367.0,36,339,True
56345,2747,35,0.0,35,2747,True
56347,2427,31,0.0,31,2427,True
56349,61,33,991.0,33,61,True
56351,2244,31,223.0,31,2244,True
56355,2250,38,1049.0,38,2250,True
56356,197,32,954.0,32,197,True
56362,309,36,951.0,36,309,True
56363,344,32,831.0,32,344,True
56364,2630,34,1220.0,34,2630,True
56365,2393,36,1088.0,36,2393,True
56367,152,36,11.0,36,152,True
56368,2507,34,908.0,34,2507,True
56369,2460,35,911.0,35,2460,True
56370,270,30,601.0,30,270,True
56371,2460,35,723.0,35,2460,True
56372,2197,33,634.0,33,2197,True
56373,2460,35,874.0,35,2460,True
56374,2460,35,1063.0,35,2460,True
56375,2520,33,297.0,33,2520,True
56378,2523,35,19.0,35,2523,True
56379,2309,35,995.0,35,2309,True
56380,2546,30,768.0,30,2546,True
56382,2006,35,660.0,35,2006,True
56384,2006,35,28.0,35,2006,True
56388,189,33,771.0,33,189,True
56389,189,33,57.0,33,189,True
