athlete_id,team_id,points,minutes,missing_minutes_rows,missing_points_rows,distinct_games,game_rows,ppm
56425,300,114.0,422.0,6,6,34,34,0.27014218009478674
56427,26,3.0,26.0,24,24,36,36,0.11538461538461539
56433,2197,111.0,397.0,2,2,33,33,0.2795969773299748
56435,257,179.0,625.0,8,8,35,35,0.2864
56436,2199,43.0,397.0,6,6,35,35,0.10831234256926953
56438,2751,309.0,1154.0,1,1,35,35,0.26776429809358754
56440,2751,498.0,1082.0,4,4,35,35,0.4602587800369686
56443,2598,62.0,250.0,9,9,32,32,0.248
56445,2598,146.0,559.0,1,1,32,32,0.26118067978533094
56449,2681,508.0,979.0,1,1,30,30,0.5188968335035751
56450,2681,35.0,250.0,5,5,30,30,0.14
56456,2198,499.0,1025.0,1,1,33,33,0.4868292682926829
56458,2545,386.0,880.0,8,7,32,32,0.43863636363636366
56459,93,101.0,342.0,5,5,35,35,0.2953216374269006
56462,25,136.0,513.0,3,3,33,33,0.2651072124756335
56471,2636,8.0,33.0,22,22,30,30,0.24242424242424243
56472,2277,331.0,724.0,1,1,28,28,0.457182320441989
56474,2413,234.0,934.0,3,3,34,34,0.2505353319057816
56476,107,290.0,779.0,1,0,30,30,0.3722721437740693
56477,107,434.0,913.0,1,0,30,30,0.47535596933187296
56478,107,93.0,443.0,1,0,30,30,0.20993227990970656
56480,2426,28.0,71.0,17,17,32,32,0.39436619718309857
56483,2426,305.0,665.0,11,11,32,32,0.45864661654135336
56496,94,15.0,69.0,20,20,30,30,0.21739130434782608
56497,309,132.0,492.0,1,1,36,36,0.2682926829268293
56498,236,52.0,350.0,2,2,32,32,0.14857142857142858
56507,2717,601.0,1180.0,1,1,32,32,0.5093220338983051
56510,2747,62.0,358.0,3,3,35,35,0.17318435754189945
56513,350,10.0,74.0,16,16,32,32,0.13513513513513514
56521,2504,357.0,839.0,1,1,33,33,0.42550655542312277
56523,2466,196.0,557.0,8,8,32,32,0.3518850987432675
56528,357,4.0,20.0,32,32,34,34,0.2
56535,2428,38.0,194.0,8,8,33,33,0.1958762886597938
56539,2413,90.0,313.0,19,19,34,34,0.28753993610223644
56549,2571,15.0,40.0,23,23,35,35,0.375
56550,2571,141.0,506.0,2,2,35,35,0.27865612648221344
56553,155,297.0,811.0,3,3,30,30,0.36621454993834773
56559,2710,29.0,177.0,12,12,28,28,0.1638418079096045
56561,2172,320.0,930.0,2,2,30,30,0.34408602150537637
56563,239,333.0,1060.0,1,1,34,34,0.3141509433962264
56573,98,8.0,40.0,28,28,32,32,0.2
56576,98,45.0,207.0,8,8,32,32,0.21739130434782608
56577,325,123.0,430.0,1,0,34,34,0.28604651162790695
56584,23,95.0,291.0,21,21,30,30,0.32646048109965636
56589,2501,366.0,674.0,8,8,33,33,0.543026706231454
56591,2502,7.0,27.0,26,26,29,29,0.25925925925925924
56593,301,232.0,972.0,1,1,31,31,0.23868312757201646
56595,301,9.0,22.0,25,25,31,31,0.4090909090909091
56602,2504,292.0,799.0,1,1,33,33,0.36545682102628285
56604,3084,336.0,971.0,1,1,30,30,0.34603501544799176
56606,328,4.0,53.0,21,21,31,31,0.07547169811320754
56611,233,56.0,143.0,9,9,33,33,0.3916083916083916
56612,142,41.0,250.0,9,9,32,32,0.164
56618,2065,371.0,892.0,3,3,32,32,0.41591928251121074
56620,103,62.0,435.0,3,3,32,32,0.1425287356321839
56625,103,15.0,204.0,6,6,32,32,0.07352941176470588
56626,103,0.0,26.0,29,29,32,32,0.0
56627,103,215.0,783.0,1,1,32,32,0.27458492975734355
56629,218,96.0,309.0,10,10,37,37,0.3106796116504854
56633,2429,62.0,175.0,19,19,32,32,0.35428571428571426
56634,41,592.0,1216.0,1,1,35,35,0.4868421052631579
56644,71,58.0,449.0,2,2,33,33,0.1291759465478842
56647,79,57.0,287.0,9,9,33,33,0.1986062717770035
56650,278,17.0,181.0,15,15,32,32,0.09392265193370165
56653,2305,167.0,714.0,1,1,36,36,0.2338935574229692
56656,2350,403.0,998.0,1,1,37,37,0.40380761523046094
56666,2210,286.0,771.0,1,1,33,33,0.37094682230869
56667,2210,114.0,465.0,13,13,33,33,0.24516129032258063
56671,9,14.0,59.0,20,20,34,34,0.23728813559322035
56672,130,154.0,435.0,2,2,32,32,0.35402298850574715
56675,198,8.0,75.0,28,28,34,34,0.10666666666666667
56676,2623,205.0,918.0,2,2,31,31,0.2233115468409586
56678,2623,127.0,448.0,2,2,31,31,0.28348214285714285
56681,2405,226.0,750.0,4,4,33,33,0.30133333333333334
56687,2449,163.0,806.0,2,2,33,33,0.2022332506203474
56696,194,210.0,644.0,2,2,35,35,0.32608695652173914
56703,2523,126.0,460.0,14,14,35,35,0.27391304347826084
56704,151,2.0,37.0,21,21,33,33,0.05405405405405406
56707,57,247.0,686.0,5,5,33,33,0.36005830903790087
56708,164,389.0,930.0,2,2,32,32,0.4182795698924731
56709,164,43.0,278.0,8,8,32,32,0.15467625899280577
56712,221,43.0,211.0,7,7,34,34,0.2037914691943128
56718,326,215.0,911.0,1,1,31,31,0.23600439077936333
56721,2547,51.0,125.0,26,26,34,34,0.408
56724,2567,214.0,530.0,1,0,34,34,0.4037735849056604
56726,245,426.0,892.0,2,2,33,33,0.47757847533632286
56727,2567,222.0,963.0,1,0,34,34,0.23052959501557632
56731,179,355.0,957.0,1,1,31,31,0.3709508881922675
56734,2599,145.0,673.0,3,3,33,33,0.21545319465081725
56742,2565,56.0,250.0,2,2,28,28,0.224
56744,333,248.0,491.0,15,15,34,34,0.505091649694501
56753,259,127.0,265.0,19,19,32,32,0.47924528301886793
56755,57,367.0,782.0,5,5,33,33,0.46930946291560105
56756,259,96.0,348.0,8,8,33,33,0.27586206896551724
56759,277,223.0,644.0,3,3,35,35,0.34627329192546585
56760,2006,329.0,732.0,2,2,35,35,0.4494535519125683
56763,8,6.0,47.0,21,20,36,36,0.1276595744680851
56765,275,0.0,36.0,26,26,40,40,0.0
56766,2571,345.0,896.0,9,9,35,35,0.38504464285714285
56767,275,171.0,506.0,19,19,40,40,0.33794466403162055
56769,275,732.0,1311.0,1,1,40,40,0.5583524027459954
56778,2117,131.0,254.0,2,2,32,32,0.515748031496063
56782,2674,206.0,628.0,1,1,34,34,0.32802547770700635
56794,245,89.0,261.0,12,12,33,33,0.34099616858237547
56801,301,87.0,413.0,4,4,31,31,0.2106537530266344
56804,62,6.0,30.0,28,28,34,34,0.2
56806,2325,81.0,709.0,3,3,33,33,0.11424541607898449
56811,82,247.0,752.0,1,1,34,34,0.32845744680851063
56819,305,0.0,22.0,27,27,32,32,0.0
56822,2540,52.0,293.0,1,1,33,33,0.17747440273037543
56824,2540,449.0,847.0,7,7,33,33,0.5301062573789846
56830,2539,71.0,299.0,7,7,32,32,0.23745819397993312
56832,158,129.0,709.0,1,1,31,31,0.18194640338504936
56834,149,534.0,963.0,1,1,33,33,0.5545171339563862
56835,264,108.0,510.0,10,10,31,31,0.21176470588235294
56840,2084,302.0,718.0,2,2,33,33,0.4206128133704735
56842,2130,390.0,876.0,1,1,32,32,0.4452054794520548
56856,163,2.0,52.0,14,14,30,30,0.038461538461538464
56871,2750,67.0,170.0,23,23,31,31,0.3941176470588235
56877,2083,113.0,560.0,3,3,34,34,0.2017857142857143
56883,2643,121.0,550.0,3,3,30,30,0.22
56890,2628,16.0,75.0,16,16,33,33,0.21333333333333335
56891,225,296.0,903.0,1,1,31,31,0.327796234772979
56894,225,6.0,34.0,24,24,31,31,0.17647058823529413
56898,2182,325.0,951.0,1,1,30,30,0.34174553101997895
56899,2182,578.0,1029.0,3,3,30,30,0.5617103984450923
56901,151,108.0,387.0,11,11,33,33,0.27906976744186046
56903,325,486.0,982.0,1,0,34,34,0.49490835030549896
56904,325,257.0,787.0,4,3,34,34,0.32655654383735705
56916,249,239.0,839.0,3,3,31,31,0.28486293206197855
56917,145,73.0,309.0,10,10,34,34,0.23624595469255663
56919,145,396.0,965.0,1,1,34,34,0.41036269430051814
56924,2250,76.0,176.0,10,10,38,38,0.4318181818181818
56933,127,415.0,1055.0,4,4,39,39,0.3933649289099526
56936,2529,269.0,666.0,1,1,32,32,0.4039039039039039
56938,2275,230.0,525.0,8,8,34,34,0.4380952380952381
56949,2050,141.0,575.0,10,10,30,30,0.24521739130434783
56953,2132,7.0,43.0,31,31,33,33,0.16279069767441862
